"sigma_obs","beta_intercept"
0.308258964451795,-0.119435208845791
0.332847611734977,-0.113139213327566
0.312940588563279,-0.126111662548657
0.303817373779227,-0.112457532360767
0.379145290887089,-0.122962700879539
0.32236812002281,-0.0968570804308234
0.283603123907907,-0.0837018980681342
0.344724716111616,-0.100914030617128
0.314658989354267,-0.124211932332915
0.313705475584008,-0.176007759598694
0.308150730258519,-0.0618503630262358
0.30304132969134,-0.105186991573825
0.31864282744106,-0.13754734072313
0.322877812851822,-0.0995217416596766
0.317002650588652,-0.094759265769559
0.324217905015144,-0.0762493840639689
0.314007334192561,-0.106726030648226
0.3027420104863,-0.0973312122840102
0.328973490972756,-0.129236721627734
0.317812606111929,-0.143757443494195
0.311803638606676,-0.0917211286422446
0.302934676668512,-0.130132503924619
0.322031401460886,-0.0874378347659502
0.32213577554173,-0.0950838497496178
0.31466037912165,-0.116070375178743
0.320547641570844,-0.0972219024749231
0.309361696171276,-0.13939161616252
0.302421570302551,-0.11684358629165
0.319478436747188,-0.11344468603812
0.308321560261776,-0.139432129232166
0.316462516811782,-0.138733603733603
0.285003905867887,-0.130588614447174
0.29426826365194,-0.0783657982326706
0.346401299382417,-0.0877143186062455
0.288110597812973,-0.118484566820499
0.309163892088456,-0.151304864422266
0.328340564587954,-0.120318745914791
0.334719253526359,-0.0529152013445361
0.320441616513608,-0.118081561703016
0.298694692553027,-0.103805866049669
0.320178335267619,-0.101058134766052
0.333883050260239,-0.149769355419046
0.314995523923672,-0.0994920931739091
0.327989817775329,-0.120747772853417
0.334888388099153,-0.110566973273884
0.2951620725485,-0.125782703877568
0.326022307332369,-0.0832561764599071
0.330166308693519,-0.137183452557396
0.31859631067353,-0.127121903347777
0.340512964644864,-0.123120903396789
0.308927695372934,-0.0902562722345991
0.31149580912869,-0.0937780149167767
0.294884577388531,-0.124237391203063
0.305978172387584,-0.1223215403566
0.314308480715093,-0.0953920436773668
0.301063598693207,-0.100760115124923
0.301216950799818,-0.0846885395754795
0.294002765273192,-0.0773136873567422
0.289367904856716,-0.115908135185146
0.328934881236071,-0.163044001036614
0.284766941771541,-0.109460822291273
0.318001024948917,-0.114396824816293
0.302565162142363,-0.126711934589047
0.358514115540732,-0.0839620227221094
0.315979940256637,-0.117777638644561
0.324013156995653,-0.0995501353815477
0.28441888685101,-0.12357212795194
0.309264271943818,-0.146572913544177
0.339320887262527,-0.13696949195757
0.331576186225481,-0.129954771957231
0.289473195142309,-0.11025031400274
0.32402797082619,-0.112254005288535
0.298403972864183,-0.102965807928172
0.329915594992765,-0.0802934232047978
0.336544509356813,-0.122575652353867
0.303895626878854,-0.100969631824471
0.306660174246091,-0.104358557233227
0.299439327475028,-0.129152848998808
0.318882190667189,-0.127339398723803
0.326367329572276,-0.105064159160123
0.330845317149563,-0.127639103463617
0.303751551456475,-0.134140319354214
0.322875297073387,-0.106583300212058
0.31836975478334,-0.129122078263054
0.32938095025612,-0.120559475634009
0.318027885238272,-0.122491376655442
0.326685183793008,-0.129691501510723
0.337635442612193,-0.121257041597857
0.307212877382797,-0.117825354325497
0.330353264646756,-0.138687811909863
0.326793460401186,-0.132443597865941
0.314337755588271,-0.135042570965477
0.284224420749609,-0.141989844019372
0.314830661475268,-0.138745360926234
0.313666653631752,-0.175792809885231
0.324200499889538,-0.106011229392797
0.289295620844117,-0.101630052485001
0.309155472115339,-0.110486937105277
0.357130423353838,-0.126415856230257
0.305720537525983,-0.0842857567357664
0.333044356786456,-0.123178202596194
0.298785635157772,-0.11564428512816
0.308882052725885,-0.126627667036562
0.313759281646027,-0.134172951421065
0.30080209915466,-0.122603994812631
0.290939723054906,-0.101305141635279
